Company,Item,Calories,Protein,Protein Focused Diet
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,280,15,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,300,14,
Pizza Hut,Detroit Double Cheesy Pizza Slice,280,13,
Pizza Hut,Detroit Supremo Pizza Slice,290,13,
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Medium,300,13,
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Large,270,13,
Pizza Hut,Hand Tossed Slices Cheese Large,290,13,
Pizza Hut,Hand Tossed Slices Pepperoni Large,300,13,
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Medium,270,12,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Medium,240,12,
,,,,Calorie Focused Diet
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Medium,300,13,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,300,14,
Pizza Hut,Hand Tossed Slices Pepperoni Large,300,13,
Pizza Hut,Detroit Supremo Pizza Slice,290,13,
Pizza Hut,Hand Tossed Slices Cheese Large,290,13,
Pizza Hut,Hand Tossed Slices Meat Lover’s® Medium,290,12,
Pizza Hut,Detroit Double Cheesy Pizza Slice,280,13,
Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Large,280,12,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,280,15,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Medium,270,11,
,,,,Low Sugar Diet
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Small,130,0,
Pizza Hut,Hand Tossed Slices Cheese Small,130,0,
Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Small,150,0,
Pizza Hut,Hand Tossed Slices Meat Lover’s® Small,180,0,
Pizza Hut,Hand Tossed Slices Pepperoni Small,130,0,
Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Small,160,0,
Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Small,150,0,
Pizza Hut,Pan Pizza Slices Beyond Meat® Pepperoni Medium,240,1,
Pizza Hut,Pan Pizza Slices Cheese Medium,250,1,
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Medium,270,1,
Pizza Hut,Pan Pizza Slices Pepperoni Medium,250,1,
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Medium,300,1,
Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Medium,270,1,
Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Medium,200,1,
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Medium,200,1,
Pizza Hut,Hand Tossed Slices Cheese Medium,210,1,
Pizza Hut,Hand Tossed Slices Chicken Bacon Parmesan Medium,230,1,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Small,130,1,
Pizza Hut,Hand Tossed Slices Meat Lover’s® Medium,290,1,
Pizza Hut,Hand Tossed Slices Pepperoni Medium,220,1,
Pizza Hut,Hand Tossed Slices Pepperoni Lover’s® Medium,270,1,
Pizza Hut,Hand Tossed Slices Supreme Small,150,1,
Pizza Hut,Hand Tossed Slices Ultimate Cheese Lover’s® Medium,230,1,
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Small,120,1,
Pizza Hut,Detroit Double Cheesy Pizza Slice,280,2,
Pizza Hut,Detroit Supremo Pizza Slice,290,2,
Pizza Hut,Pan Pizza Slices Buffalo Chicken Personal Pan,160,2,
Pizza Hut,Pan Pizza Slices Buffalo Chicken Medium,240,2,
Pizza Hut,Pan Pizza Slices Cheese Personal Pan,150,2,
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,180,2,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Medium,240,2,
Pizza Hut,Pan Pizza Slices Meat Lover’s® Personal Pan,210,2,
Pizza Hut,Pan Pizza Slices Pepperoni Personal Pan,150,2,
Pizza Hut,Pan Pizza Slices Pepperoni Lover’s® Personal Pan,180,2,
Pizza Hut,Pan Pizza Slices Supreme Personal Pan,170,2,
Pizza Hut,Pan Pizza Slices Supreme Medium,270,2,
Pizza Hut,Pan Pizza Slices Ultimate Cheese Lover’s® Personal Pan,170,2,
Pizza Hut,Pan Pizza Slices Veggie Lover’s® Personal Pan,140,2,
Pizza Hut,Pan Pizza Slices Veggie Lover’s® Medium,230,2,
Pizza Hut,Hand Tossed Slices Beyond Meat® Pepperoni Large,280,2,
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Large,270,2,
Pizza Hut,Hand Tossed Slices Cheese Large,290,2,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Medium,210,2,
Pizza Hut,Hand Tossed Slices Pepperoni Large,300,2,
Pizza Hut,Hand Tossed Slices Supreme Medium,240,2,
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Medium,200,2,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Personal Pan,150,3,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,280,3,
Pizza Hut,Hand Tossed Slices Veggie Lover’s® Large,260,3,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Small,140,4,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Medium,270,6,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Medium,220,6,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,300,7,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,8,
,,,,No Red Meat
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Small,130,6,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Small,130,7,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Small,140,6,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Personal Pan,150,8,
Pizza Hut,Pan Pizza Slices Buffalo Chicken Personal Pan,160,7,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,8,
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Medium,200,9,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Medium,210,10,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Medium,220,10,
Pizza Hut,Pan Pizza Slices Buffalo Chicken Medium,240,11,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Medium,240,12,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Medium,270,11,
Pizza Hut,Hand Tossed Slices  Buffalo Chicken Large,270,13,
Pizza Hut,Hand Tossed Slices Hawaiian Chicken Large,280,15,
Pizza Hut,Hand Tossed Slices Backyard BBQ Chicken Large,300,14,
Pizza Hut,Pan Pizza Slices Buffalo Chicken Large,350,15,
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Large,350,17,
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Large,380,16,
